Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
Ash,Girl From Mars,56.0,0.247,0.764,9.0,-7.718,1,0.0472,0.00542,,0.16,0.503,154.707,210200.0,4,6
Charmaine,WOO!,53.0,0.953,0.614,2.0,-7.328,1,0.0752,0.00717,0.000258,0.0762,0.188,105.019,168427.0,4,5
Pimm's Trio,Blue Jeans,49.0,0.415,0.0648,10.0,-21.435,0,0.0339,0.98,0.931,0.121,0.0761,100.738,2.845716667,4,7
311,Space and Time,50.0,0.479,0.917,5.0,-6.632,1,0.104,0.103,,0.056,0.852,184.04,214480.0,4,10
Tim McGraw,Live Like You Were Dying,67.0,0.416,0.546,7.0,-7.728,1,0.0297,0.492,,0.0845,0.418,159.929,5.00555,4,4
Bruce Springsteen,I'm On Fire,74.0,0.62,0.446,1.0,-14.451,0,0.0347,0.589,0.0299,0.0727,0.868,88.591,2.598,4,10
Garbage,Wolves - Edit,18.0,0.484,0.956,5.0,-6.388,0,0.0357,2.59e-05,0.705,0.257,0.643,145.004,219541.0,4,10
Lonely Time,Chris Smither,28.0,0.606,0.452,4.0,-10.376,1,0.0394,0.815,2.24e-05,0.118,0.657,126.687,3.37795,4,0
The Orwells,Who Needs You,42.0,0.3,0.88,5.0,-4.573,1,0.0465,1.37e-05,0.0273,0.0746,0.563,207.92,199147.0,4,6
Nick Leng,One More Time,43.0,0.667,0.757,,-6.818,1,0.0285,0.155,2.68e-05,0.414,0.77,112.029,199440.0,4,6
Shalom Hanoch,◊ú◊ê◊ò ◊ú◊ê◊ò,29.0,0.635,0.671,10.0,-9.404,0,0.0277,0.133,7.51e-05,0.252,0.727,124.002,247600.0,4,10
Dustin Tebbutt,Love Is Blind,34.0,0.571,0.477,2.0,-12.319,1,0.0392,0.6,0.391,0.111,0.466,77.954,3.88453333,4,0
Combichrist,Understand,34.0,0.506,0.88,4.0,-6.156,0,0.0374,2.54e-05,0.00127,0.09,0.034,130.029,334921.0,4,8
XYZ,When I Find Love,35.0,0.356,0.772,11.0,-8.575,1,0.0437,0.000491,0.000241,0.0647,0.271,184.719,257133.0,4,10
Future Islands,Seasons (Waiting On You),65.0,0.498,0.721,10.0,-5.232,1,0.0282,0.136,0.699,0.0933,0.589,140.022,226440.0,4,1
Yameii Online,Baby My Phone,70.0,0.427,0.666,5.0,-7.902,0,0.0415,0.176,0.229,0.0856,0.232,85.022,215771.0,4,9
At The Drive In,Arcarsenal,34.0,0.369,0.987,2.0,-2.517,1,0.219,0.00596,0.000923,0.368,0.232,130.214,174760.0,4,10
Viagra Boys,Down in the Basement,41.0,0.532,0.943,7.0,-3.033,1,0.0925,6.13e-05,0.489,0.0717,0.759,134.676,216284.0,4,6
Django Django,Default,54.0,0.747,0.875,1.0,-5.635,1,0.0282,0.00733,1.1e-06,0.184,0.913,115.967,185640.0,4,10
CHVRCHES,The Mother We Share,54.0,0.462,0.722,1.0,-5.134,1,0.0306,0.0356,4.52e-06,0.127,0.327,173.941,191294.0,4,6
Paul McCartney,Live And Let Die,48.0,0.388,0.41,7.0,-13.285,1,0.0565,0.229,0.00027,0.221,0.223,154.24,191493.0,5,10
Eyal Golan,◊†◊®◊ê◊™◊î ◊ú◊ê◊ó◊®◊ï◊†◊î,35.0,0.711,0.731,2.0,-6.016,0,0.0346,0.213,3.38e-06,0.133,0.66,104.999,236312.0,4,9
"Frédéric Chopin, Maria Kliegel, Bernd Glemser","Cello Sonata in G Minor, Op. 65: III. Largo",39.0,0.0934,0.02,10.0,-33.082,1,0.0451,0.972,0.892,0.145,0.0452,85.332,3.447116667,4,7
Ben Abraham,She,46.0,0.444,0.296,8.0,-12.873,1,0.0388,0.913,0.00191,0.0957,0.26,138.516,3.55021667,3,0
Tantara,Punish the Punisher,18.0,0.577,0.974,7.0,-5.491,1,0.0993,5.18e-05,0.264,0.0722,0.178,102.501,300293.0,4,8
C. Ramchandra,Qismat Ki Hawa Kabhi Naram,27.0,0.438,0.72,2.0,-8.68,1,0.0614,0.579,,0.301,0.94,102.259,3.87355,4,3
"Inalab, Dhruv Sangari",Sitaron Se Aage,17.0,0.305,0.646,5.0,-8.794,0,0.0421,0.0918,0.118,0.119,0.397,179.766,4.04,3,0
The Beach Boys,I Get Around (Mono),66.0,0.39,0.625,9.0,-7.813,0,0.0537,0.36,,0.0663,0.514,144.338,134387.0,4,10
Jessie Ware,Please - Single Edit,63.0,0.665,0.69,7.0,-7.275,1,0.0369,0.0325,0.0147,0.116,0.454,120.032,219933.0,4,6
Flawes,When We Were Young,35.0,0.7,0.798,,-6.789,1,0.0832,0.0563,4.05e-05,0.171,0.359,115.983,211091.0,4,1
George Bar,◊ï◊ï◊ê◊ú◊ô,19.0,0.648,0.872,,-6.924,0,0.0372,0.245,5.66e-06,0.0403,0.984,164.908,276133.0,4,9
Blane Howard,Promise to Love Her,57.0,0.54,0.513,11.0,-6.978,1,0.0331,0.713,,0.149,0.51,78.862,3.2943,3,4
Pattie,Hey,14.0,0.437,0.475,6.0,-7.297,0,0.0284,0.00469,0.0206,0.0907,0.193,88.987,199870.0,4,6
Rot Ken,Baby Choppa,52.0,0.79,0.578,,-6.356,1,0.262,0.00299,,0.372,0.705,159.922,144000.0,4,5
Armor For Sleep,Car Underwater,52.0,0.435,0.774,2.0,-5.052,1,0.0631,0.014,,0.127,0.448,147.466,228707.0,4,10
Natalie Prass,Sisters,27.0,0.735,0.56,4.0,-7.03,0,0.145,0.0688,6.94e-06,0.0629,0.587,174.97,276427.0,4,6
Noisettes,Never Forget You,73.0,0.569,0.692,9.0,-4.683,1,0.0323,0.0167,3.78e-05,0.126,0.737,141.632,3.20355,4,9
Bloc Party,Kettling,34.0,0.351,0.865,7.0,-4.526,1,0.0433,5.76e-05,0.00236,0.916,0.475,79.547,221120.0,4,10
John Harvie,Bleach (On the Rocks),63.0,0.616,0.839,2.0,-4.281,1,0.054,0.0601,,0.294,0.722,85.029,174309.0,4,10
Ahuva Ozeri,◊¶◊ú◊¶◊ï◊ú◊ô ◊§◊¢◊û◊ï◊†◊ô◊ù,37.0,0.51,0.731,4.0,-6.715,0,0.0343,0.164,0.000467,0.363,0.227,95.955,302160.0,4,9
Suicidal Tendencies,Send Me Your Money,40.0,0.409,0.73,9.0,-11.394,0,0.0937,7.06e-05,4.88e-05,0.33,0.717,105.827,202160.0,1,8
Refused,Born On The Outs,44.0,0.615,0.821,9.0,-6.422,0,0.0647,0.00918,0.0193,0.219,0.391,125.039,214760.0,4,6
Favourite People,Shell Island,41.0,0.522,0.817,4.0,-9.069,1,0.0668,0.118,0.888,0.135,0.678,170.97,203680.0,4,6
Preservation Hall Jazz Band,Keep Your Head Up,34.0,0.623,0.888,5.0,-5.018,0,0.133,0.343,,0.34,0.687,107.962,285347.0,4,10
Lawrence Hart,Surrender Yourself,40.0,0.641,0.677,7.0,-9.002,0,0.0462,0.0813,0.826,0.111,0.0708,122.992,347413.0,4,6
Lou Donaldson,Play Ray,39.0,0.704,0.214,3.0,-17.339,1,0.0617,0.787,0.00209,0.0923,0.664,77.52,5.522216667,4,7
Jack Kays,MY HEAD :(,53.0,0.942,0.439,,-8.519,1,0.0864,0.346,,0.107,0.231,125.018,92160.0,4,9
Janis Joplin,"To Love Somebody - Live at The Woodstock Music & Art Fair, August 17, 1969",32.0,0.497,0.5,7.0,-10.225,1,0.0543,0.315,2.56e-05,0.687,0.626,132.526,316800.0,4,10
The Smashing Pumpkins,Bullet With Butterfly Wings,73.0,0.404,0.72,10.0,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,258467.0,4,10
Slash,"Sweet Child O' Mine (feat. Myles Kennedy and The Conspirators) - Live at Spotify, London",58.0,0.566,0.538,6.0,-5.729,1,0.0346,0.406,0.000497,0.979,0.315,121.154,396968.0,4,10
Green Day,Revolution Radio,58.0,0.419,0.971,7.0,-3.622,1,0.0909,4.63e-05,1.43e-05,0.171,0.677,180.033,180853.0,4,10
Hollywood Undead,Undead,6.0,0.512,0.943,2.0,-5.185,0,0.106,0.0136,,0.261,0.486,163.134,265053.0,4,10
Dudu Tassa,Lola,14.0,0.348,0.61,11.0,-6.015,0,0.0583,0.71,0.000666,0.971,0.241,145.115,265300.0,4,9
Dire Straits,Wild West End,54.0,0.792,0.395,2.0,-12.094,1,0.0379,0.451,0.00148,0.1,0.54,132.914,282773.0,4,10
New Order,Blue Monday,70.0,0.762,0.651,,-13.34,1,0.0655,0.00198,0.856,0.111,0.941,130.395,449160.0,4,1
TOOL,Sober,68.0,0.385,0.673,2.0,-8.182,1,0.0329,0.000183,0.149,0.0721,0.187,149.271,306853.0,4,8
Demob Happy,Succubus,44.0,0.369,0.792,11.0,-4.591,1,0.0494,5.52e-05,0.000577,0.109,0.391,178.193,221747.0,4,10
Parkwood,Screwdriver,34.0,0.446,0.989,7.0,-4.131,1,0.155,0.00125,9.2e-06,0.102,0.0437,105.955,197264.0,4,10
New Order,Blue Monday - 2016 Remaster,67.0,0.793,0.703,,-9.548,1,0.0581,0.000726,0.88,0.075,0.856,130.27,450800.0,4,6
chloe moriondo,I Want To Be With You,1.0,0.746,0.434,4.0,-6.981,1,0.0388,0.0222,8.21e-06,0.101,0.389,119.974,178373.0,4,6
IDLES,War,50.0,0.24,0.956,,-3.335,1,0.07,3.39e-05,0.000752,0.0579,0.205,93.486,187451.0,4,10
Eyal Golan,◊ú◊©◊ô◊® ◊ï◊õ◊ì◊ï◊®◊í◊ú,32.0,0.801,0.826,1.0,-4.613,0,0.0387,0.28,,0.111,0.822,103.993,210930.0,4,9
Lil Durk,Watch Yo Homie,58.0,0.72,0.459,7.0,-10.786,0,0.252,0.125,,0.15,0.314,95.521,151023.0,4,5
Battle Tapes,Last Resort & Spa,51.0,0.478,0.899,5.0,-4.114,1,0.143,0.124,0.0035,0.109,0.679,186.028,254270.0,4,1
Ti√´sto,The Business,94.0,0.798,0.62,8.0,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,164000.0,4,9
Y&T,Rescue Me,33.0,0.37,0.93,4.0,-4.377,0,0.1,0.128,,0.0974,0.209,110.642,283373.0,4,10
The Offspring,Want You Bad,69.0,0.491,0.966,4.0,-4.28,1,0.0538,5.59e-05,,0.307,0.614,105.544,202573.0,4,10
Miri Mesika,Al Hayofi,14.0,0.601,0.589,,-6.358,1,0.0275,0.602,,0.249,0.303,96.972,229227.0,3,9
Yellowcard,Breathing,62.0,0.382,0.932,4.0,-3.726,0,0.0716,3.5e-05,,0.243,0.57,179.581,218707.0,4,10
The Go,Summer Sun Blues,11.0,0.416,0.813,2.0,-6.183,1,0.0381,0.122,0.01,0.107,0.424,122.171,217040.0,4,2
Duran Duran,Five Years,36.0,0.544,0.507,7.0,-6.285,1,0.0385,0.00456,2.02e-05,0.258,0.407,154.718,285246.0,3,10
Mark Roswell Trio,It Might As Well Be Spring,60.0,0.331,0.169,9.0,-18.095,0,0.0373,0.956,0.951,0.121,0.114,171.169,4.597333333,3,7
Jimmy Harvey,Boy in My Mind,27.0,0.677,0.582,2.0,-8.943,1,0.0269,0.155,0.0489,0.157,0.169,107.001,192900.0,4,9
John Henriksson,The Distance,45.0,0.375,0.131,6.0,-19.125,1,0.033,0.946,0.936,0.111,0.0366,64.128,2.591916667,4,7
The Creation,Making Time,38.0,0.356,0.899,3.0,-6.211,1,0.243,0.00755,,0.28,0.456,140.82,177547.0,4,6
VED,Ett visst f√§ngelse,18.0,0.546,0.918,8.0,-10.854,0,0.0328,0.063,0.946,0.403,0.956,90.103,277313.0,4,6
Marcus King,Beautiful Stranger,46.0,0.485,0.248,4.0,-10.566,1,0.0292,0.837,1.52e-05,0.0935,0.188,111.662,247547.0,3,2
beabadoobee,How Was Your Day?,49.0,0.353,0.392,2.0,-13.039,1,0.0339,0.931,0.0439,0.337,0.168,84.586,260025.0,4,6
Built To Spill,Life in Vain,37.0,0.488,0.775,4.0,-9.387,1,0.0567,0.0435,0.000443,0.181,0.826,81.004,205506.0,4,1
Goat Girl,Bang,32.0,0.413,0.69,10.0,-6.868,1,0.0299,0.212,0.0241,0.314,0.483,95.26,267533.0,4,1
Maniac,Go,28.0,0.598,0.618,5.0,-10.013,1,0.047,0.54,0.000546,0.951,0.422,103.099,251733.0,4,5
Jason Isbell and the 400 Unit,Dreamsicle,56.0,0.53,0.55,2.0,-6.907,1,0.0249,0.163,2.21e-06,0.252,0.492,97.334,224034.0,4,1
"Antonín Dvořák, Rudolf Kempe, Munich Philharmonic Orchestra","Serenade for Strings in E Major, Op. 22, B. 52: I. Moderato",22.0,0.13,0.0941,4.0,-21.2,1,0.0402,0.55,0.826,0.483,0.107,86.911,4.51445,4,7
Charlie Cunningham,You Sigh,60.0,0.629,0.451,6.0,-9.974,1,0.0284,0.852,0.06,0.141,0.681,90.965,178827.0,4,9
Dropdead Chaos,HUMANS,24.0,0.363,0.987,11.0,-3.849,0,0.236,8.36e-06,0.00251,0.246,0.202,200.015,290896.0,4,8
Hadag Nahash,◊ú◊ê ◊û◊ï◊ï◊™◊®,31.0,0.671,0.873,5.0,-4.83,0,0.0401,0.00153,4.83e-06,0.0411,0.922,110.021,398400.0,4,5
Of Monsters and Men,Alligator,60.0,0.581,0.934,8.0,-5.511,1,0.0547,0.000169,0.00297,0.0901,0.391,120.024,184027.0,4,10
Moment Joon,DISTANCE,26.0,0.791,0.522,4.0,-9.455,0,0.104,0.351,0.0577,0.138,0.152,130.007,243926.0,4,9
Yuval Banay,◊î◊ó◊ô◊ô◊ù ◊ñ◊î ◊¢◊õ◊©◊ô◊ï,18.0,0.656,0.928,5.0,-3.757,0,0.114,0.158,,0.0596,0.821,131.916,245909.0,4,10
DUSTY LOCANE,"ROLLIN N CONTROLLIN, Pt.2 (PICTURE ME)",61.0,0.858,0.625,8.0,-4.666,1,0.404,0.225,,0.18,0.659,130.05,121837.0,4,5
The Monkees,Me & Magdalena,47.0,0.738,0.43,7.0,-9.749,1,0.0295,0.377,1.03e-05,0.0945,0.374,114.992,3.56178333,4,0
MEDUZA,Paradise - Guitar Acoustic,56.0,0.644,0.514,9.0,-5.08,0,0.0315,0.343,2.56e-06,0.144,0.589,123.709,185019.0,4,9
SASAMI,Not The Time,33.0,0.42,0.79,6.0,-7.824,0,0.06,0.00384,0.41,0.0943,0.507,137.968,170760.0,4,6
Tedeschi Trucks Band,Part of Me,55.0,0.679,0.608,7.0,-8.334,1,0.034,0.434,1.33e-05,0.0942,0.735,111.803,246573.0,4,2
Jazmine Sullivan,Price Tags (feat. Anderson .Paak) - kryptogram Remix,58.0,0.809,0.876,6.0,-6.504,1,0.0602,0.0192,8.76e-05,0.372,0.835,118.982,221875.0,4,6
Billy Ray Cyrus,Achy Breaky Heart,65.0,0.8,0.563,9.0,-10.209,1,0.0303,0.051,,0.0797,0.961,121.808,3.38955,4,4
Britney Spears,Oops!...I Did It Again,78.0,0.751,0.834,1.0,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,3.519333333,4,9
Catsystem Corp.,Aquascaping „Éî „É© „Éü „ÉÉ „Éâ,33.0,0.529,0.861,7.0,-10.294,1,0.0507,0.000236,0.919,0.462,0.967,158.921,74000.0,4,6
girl in red,Rue,68.0,0.579,0.77,4.0,-9.163,0,0.0586,0.12,0.0553,0.172,0.275,125.011,216832.0,4,6
KALI,I Just Wanna,46.0,0.693,0.586,11.0,-5.59,0,0.0361,0.147,0.000431,0.111,0.51,108.579,254399.0,4,6
Kishore Kumar,Hum To Mohabbat Karega,9.0,0.806,0.427,9.0,-7.701,0,0.209,0.948,0.00097,0.112,0.878,103.606,3.254,4,3
Omer Adam,◊§◊¢◊ù ◊ë◊ó◊ô◊ô◊ù,41.0,0.718,0.304,9.0,-10.176,1,0.0688,0.772,,0.141,0.556,99.788,243187.0,4,9
Metric,Combat Baby,51.0,0.649,0.914,9.0,-6.199,1,0.0455,0.00573,0.000165,0.0997,0.739,139.125,209760.0,4,1
Aaron Aye,Potion,26.0,0.396,0.474,3.0,-5.725,1,0.0625,0.629,,0.295,0.699,70.551,170164.0,4,9
With Confidence,Cult,50.0,0.556,0.697,7.0,-5.959,1,0.0407,0.000128,1.15e-05,0.531,0.165,106.071,193794.0,4,9
Ihsahn,Spectre At The Feast,39.0,0.392,0.751,4.0,-5.544,0,0.0347,0.000213,0.0103,0.303,0.375,179.899,258800.0,4,8
Ehud Banai,◊©◊ô◊® ◊î◊ó◊ô◊ô◊ú - ◊í◊®◊°◊™ ◊®◊ì◊ô◊ï,13.0,0.658,0.917,2.0,-2.801,0,0.0303,0.24,0.0118,0.0943,0.774,129.987,249847.0,4,10
Zohar Argov,◊ë◊ì◊ì,29.0,0.544,0.539,5.0,-7.721,0,0.0265,0.0362,2.13e-06,0.329,0.347,68.546,286187.0,4,9
Reyanna Maria,So Pretty,71.0,0.799,0.543,10.0,-6.094,0,0.24,0.0512,0.0425,0.134,0.25,187.906,85742.0,4,5
Robben Ford & The Blue Line,Chevrolet,25.0,0.491,0.891,,-7.509,1,0.0409,0.00656,0.15,0.0324,0.744,91.774,257960.0,4,2
D Double E,Trouble,48.0,0.745,0.482,1.0,-11.247,1,0.45,0.465,,0.0983,0.726,143.338,198042.0,4,5
Switchfoot,i need you (to be wrong),58.0,0.696,0.434,7.0,-9.954,1,0.0333,0.692,0.122,0.113,0.463,116.011,213289.0,4,1
Black Sabbath,Paranoid - 2012 - Remaster,38.0,0.415,0.647,4.0,-12.021,0,0.0696,4.14e-05,0.000847,0.208,0.409,163.047,166693.0,4,10
HaBanot Nechama,So Far,49.0,0.628,0.308,9.0,-11.431,1,0.108,0.673,,0.0995,0.209,79.911,229427.0,4,9
Shalom Gad,◊ë◊©◊ë◊ô◊ú ◊î◊ë◊ô◊ì◊ï◊®,17.0,0.536,0.427,4.0,-10.08,0,0.0316,0.0444,2.42e-06,0.111,0.434,118.029,323276.0,4,6
Shlomo Artzi,◊ú◊î◊¶◊ô◊ú ◊ê◊ï◊™◊ö,29.0,0.605,0.772,1.0,-6.679,0,0.0262,0.298,1.96e-05,0.131,0.836,129.99,280360.0,4,10
ShrekDiMC,◊¢◊ï◊ì,27.0,0.655,0.846,1.0,-4.01,1,0.119,0.144,,0.0517,0.618,195.901,210689.0,4,5
Mikkel Adler,in den Bergen,46.0,0.56,0.132,9.0,-15.864,0,0.0641,0.993,0.924,0.112,0.23,88.071,3.9981,4,7
Carl Perkins,Dixie Fried,30.0,0.61,0.703,4.0,-8.349,0,0.0372,0.716,,0.0834,0.709,161.817,144240.0,4,10
Berlin,Take My Breath Away - Live,33.0,0.159,0.76,1.0,-5.09,1,0.0402,0.485,0.00369,0.933,0.551,189.333,6.124883333,4,9
Black Veil Brides,Fields of Bone,63.0,0.252,0.957,1.0,-2.318,0,0.473,0.00268,0.000451,0.0834,0.192,187.853,199788.0,4,8
TOTALFAT,Better Luck,35.0,0.564,0.933,2.0,-4.045,1,0.0666,0.00571,,0.0744,0.767,141.028,225404.0,4,10
Alice Cooper,Might As Well Be On Mars,42.0,0.386,0.713,11.0,-9.186,1,0.0427,0.0919,0.00244,0.276,0.11,135.844,428427.0,4,8
Albert King,Blues At Sunrise,35.0,0.343,0.617,11.0,-7.179,1,0.108,0.366,0.0363,0.784,0.523,171.624,910480.0,3,2
Flyying Colours,Long Holiday,20.0,0.469,0.867,7.0,-5.311,1,0.0322,2.49e-06,0.919,0.451,0.211,125.436,186253.0,4,6
Stick Figure,World on Fire (with Slightly Stoopid),51.0,0.866,0.518,,-7.372,1,0.0457,0.303,0.0512,0.104,0.644,141.01,240029.0,4,10
Sofi Tukker,Swing - Mahmut Orhan Remix,56.0,0.814,0.674,5.0,-6.673,0,0.0494,0.488,0.1,0.102,0.263,118.018,269432.0,3,6
Arcade Fire,We Used to Wait,48.0,0.573,0.642,8.0,-7.239,1,0.0279,0.0734,0.0232,0.105,0.49,120.753,301400.0,4,1
Taylor Swift,willow,81.0,0.392,0.574,7.0,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,214707.0,4,9
Henry Webb-Jenkins,Months,16.0,0.687,0.199,8.0,-13.854,1,0.0402,0.839,0.00796,0.117,0.153,112.417,194000.0,3,6
Pa Salieu,Informa (feat. M1llionz),56.0,0.766,0.601,11.0,-8.633,0,0.372,0.288,,0.131,0.559,144.883,140360.0,4,5
Extreme,Get The Funk Out,49.0,0.573,0.91,4.0,-7.515,1,0.0489,0.00259,0.0697,0.106,0.813,107.907,263760.0,4,10
ABIR,Inferno,40.0,0.598,0.661,1.0,-3.597,0,0.0946,0.0106,3.33e-06,0.302,0.671,121.281,174205.0,5,9
H.E.A.T,Dangerous Ground,43.0,0.439,0.975,1.0,-3.798,1,0.13,0.000105,8.75e-05,0.228,0.645,172.023,246827.0,4,8
Lyri Hardof Jaffe,Astronaut,7.0,0.72,0.534,2.0,-6.491,1,0.163,0.219,,0.0508,0.203,118.017,216864.0,4,5
Almighty Mighty,Slow Burner,27.0,0.185,0.75,7.0,-7.022,0,0.0354,0.0542,0.119,0.156,0.196,92.839,318560.0,4,6
Steppenwolf,Born To Be Wild - Single Version,2.0,0.468,0.81,9.0,-8.33,1,0.0724,0.00169,0.0314,0.567,0.464,145.589,216693.0,4,10
Ritt Momney,Put Your Records On,6.0,0.399,0.492,6.0,-10.777,0,0.0538,0.058,0.00101,0.11,0.159,91.066,3.507716667,4,9
Spirit Mother,Space Cadets,23.0,0.224,0.889,5.0,-6.345,1,0.0672,0.0116,8.74e-05,0.411,0.34,134.936,210573.0,4,1
MONOEYES,„É™„Ç∂„Éº„Éâ„Éû„É≥,40.0,0.472,0.862,9.0,-4.835,1,0.0324,2.49e-05,6.08e-06,0.076,0.0956,94.984,247067.0,4,10
Latto,The Biggest,14.0,0.55,0.589,1.0,-6.656,1,0.449,0.0999,,0.714,0.265,96.237,143333.0,5,5
Charlotte Funke,2nd Episode,41.0,0.229,0.0552,7.0,-21.734,1,0.0337,0.947,0.924,0.12,0.113,82.672,2.597216667,3,7
Angelus Apatrida,Betrayed,24.0,0.471,0.983,8.0,-3.092,1,0.0814,6.59e-06,0.173,0.35,0.336,92.489,365867.0,4,8
Jj Thames,Only Fool Was Me,25.0,0.562,0.466,4.0,-8.879,1,0.0333,0.441,0.00233,0.337,0.257,144.105,268453.0,3,2
Grandaddy,A.M. 180,51.0,0.296,0.432,5.0,-8.677,1,0.0316,0.00059,0.899,0.237,0.216,88.13,200667.0,4,6
Dozer,Big Sky Theory,44.0,0.356,0.849,7.0,-5.59,1,0.0399,0.000256,0.077,0.115,0.306,133.166,508307.0,4,8
Pop Smoke,What You Know Bout Love,87.0,0.709,0.548,10.0,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000.0,4,9
Sonia Sanchez,Blk/ Wooomen/ chant,14.0,0.688,0.127,7.0,-18.816,1,0.891,0.936,1.32e-05,0.0943,0.377,88.504,66093.0,4,5
Clawfinger,Biggest & the Best,47.0,0.551,0.918,1.0,-5.205,1,0.0642,0.015,0.000622,0.093,0.6,170.399,231720.0,4,8
Lene Lovich,Lucky Number,43.0,0.669,0.733,5.0,-10.495,1,0.0494,0.0205,0.000224,0.042,0.833,153.778,171093.0,4,1
Topaz Jones,Black Tame,49.0,0.627,0.81,11.0,-4.971,1,0.284,0.314,,0.546,0.637,100.136,252374.0,4,5
King Crimson,Red,42.0,0.297,0.743,9.0,-8.565,1,0.0299,0.00277,0.879,0.16,0.119,87.829,375749.0,4,10
Grip,Chicken N Dumplins,52.0,0.677,0.596,4.0,-8.852,0,0.298,0.0798,,0.102,0.172,163.152,226174.0,4,5
Clarence Edwards,Still a Fool,20.0,0.414,0.413,4.0,-10.809,1,0.104,0.628,,0.635,0.375,208.16,253427.0,3,2
ufo ufo,Strange Clouds,53.0,0.653,0.722,4.0,-7.3,1,0.0292,0.0571,0.0492,0.107,0.888,128.018,206240.0,4,10
Britney Spears,Gasoline,42.0,0.757,0.733,7.0,-4.722,1,0.0511,0.178,4.47e-06,0.101,0.552,119.984,3.14045,4,9
Far Away the Hills Are Green,"Joshua Burnside, Laura Quirke",40.0,0.467,0.114,7.0,-13.973,1,0.0318,0.941,2.25e-05,0.292,0.24,134.647,4.012233333,4,0
The Police,Every Little Thing She Does Is Magic,74.0,0.558,0.768,2.0,-9.997,1,0.0343,0.121,0.0626,0.124,0.429,81.909,260573.0,4,10
Dora Jar,Multiply,41.0,0.694,0.214,2.0,-12.774,1,0.0316,0.929,0.0032,0.137,0.375,121.958,136312.0,4,6
Lalalar,Hi√ß Mutlu Olmam Daha ƒ∞yi,41.0,0.592,0.585,7.0,-10.582,1,0.0535,0.00318,0.707,0.389,0.597,140.01,339104.0,4,10
Toby Keith,Should've Been A Cowboy,56.0,0.579,0.731,7.0,-5.659,1,0.0323,0.244,,0.297,0.618,133.582,3.497783333,4,4
Nicki Minaj,Seeing Green (with Drake & Lil Wayne),80.0,0.573,0.867,5.0,-2.876,0,0.168,0.0853,,0.38,0.231,74.861,339506.0,4,9
Lady Gaga,Rain On Me (with Ariana Grande),82.0,0.672,0.855,9.0,-3.764,1,0.0397,0.021,,0.323,0.646,123.056,182200.0,4,9
Simple Symmetry,Oh Lord,41.0,0.499,0.76,5.0,-8.662,1,0.0354,0.257,0.0902,0.104,0.206,120.011,285313.0,4,10
