class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
e,7.71,x,,n,t,p,,g,10.81,25.47,,y,w,,,f,f,,d,u
p,3.66,f,l,n,f,x,d,n,5.2,4.58,,,n,,,f,f,,d,u
p,3.75,b,h,n,f,,,k,9.37,6.03,,,w,,,t,,k,g,u
p,9.53,x,t,n,f,a,d,w,10.62,26.95,,,w,,,f,f,,d,u
p,1.62,b,h,n,f,a,,n,4.28,1.43,,t,n,,,f,f,,d,a
e,5.32,s,s,o,f,d,d,b,6.02,12.4,,,w,,,f,f,,m,a
p,12.83,f,,g,f,e,,w,11.55,15.62,,,w,u,w,t,e,,d,a
p,4.65,o,,w,f,f,f,f,5.43,28.11,,g,w,,,t,f,,d,a
e,0.81,c,g,n,t,a,,p,4.65,0.81,,,n,,,f,f,,d,u
e,10.42,x,t,n,t,p,,y,8.71,22.89,,,n,,,f,f,,d,u
p,6.13,x,h,r,f,,c,w,10.55,13.2,,,w,u,w,t,p,,d,u
e,0.9,b,g,w,f,,,g,2.81,1.39,,,w,,,f,f,,d,u
p,4.04,c,i,y,f,,c,r,6.66,6.54,,,w,,,f,f,,d,u
p,5.76,f,,y,f,s,d,y,5.72,13.57,,i,y,,,f,f,,d,a
e,13.6,x,s,w,t,e,,n,9.93,17.87,s,,w,,,t,r,,m,u
p,7.83,x,h,e,f,x,d,w,5.55,17.39,b,,w,,,f,f,,d,u
p,3.84,x,y,y,f,a,,w,5.4,3.44,,y,n,,,t,r,,g,u
p,1.48,x,,n,f,,,n,4.84,2.45,,s,n,,,f,f,k,g,u
e,3.96,s,,n,f,f,f,f,6.92,8.67,,,o,,,f,f,,d,a
p,3.75,b,t,n,f,x,c,p,6.05,4.53,,i,n,,,f,f,,m,u
p,2.62,b,w,u,f,a,c,u,4.72,5.81,,s,u,,,f,f,,l,a
p,3.02,b,,g,f,a,,k,8.64,2.52,,,g,,w,f,f,k,g,a
e,16.83,x,y,n,t,e,,w,11.09,18.71,,,w,,,t,,,d,u
p,3.92,x,,p,f,x,,w,4.92,6.32,,,w,,,f,f,,d,a
p,4.99,f,k,n,f,p,,n,3.35,4.33,,k,n,,,t,f,,d,u
p,5.93,x,,e,f,,c,r,3.81,13.08,,,y,,,f,f,,d,a
p,2.94,f,s,g,f,d,c,w,3.21,8.04,,,w,,,f,f,,g,a
p,14.2,f,s,n,f,d,c,y,5.59,27.83,,k,k,,,f,f,,d,u
p,1.98,x,i,l,f,a,,p,4.67,2.45,,,w,,,f,f,p,g,u
e,6.37,s,,n,f,d,c,w,5.69,8.31,,s,w,,,f,f,,h,u
p,1.61,x,,n,f,,,n,5.12,2.42,,s,n,,,f,f,k,g,a
e,7.33,x,h,y,f,p,,y,7.51,14.33,,,y,,y,t,,,d,a
p,10.96,x,e,y,t,p,,e,9.94,36.46,,,e,,,f,f,,d,a
e,8.35,x,s,n,f,e,c,w,8.21,10.58,,i,w,,,f,f,p,d,s
e,6.92,x,,y,f,e,,w,6.48,12.88,b,,w,u,w,t,g,,d,u
p,1.02,x,g,w,f,a,d,w,3.04,1.49,,,n,,,f,f,,l,u
p,6.11,x,w,n,f,x,,w,13.32,5.4,r,g,n,,,f,f,,d,u
p,2.19,p,t,n,f,a,c,n,7.74,2.67,,t,y,,,t,e,,m,u
p,1.82,x,,n,f,,,k,5.21,2.67,,s,n,,,f,f,k,g,a
e,4.21,x,,w,f,e,,w,5.17,10.72,b,,y,u,w,t,g,,d,a
e,6.88,x,y,n,f,e,c,w,5.4,9.93,,y,n,,,f,f,,d,u
e,1.58,c,g,n,f,a,,g,4.99,1.42,,,g,,,f,f,,d,u
p,4.33,f,t,n,f,x,c,p,6.46,4.4,,i,g,,,f,f,,m,a
p,2.56,c,h,n,f,,,y,9.49,4.15,,,y,,,f,f,,g,a
e,3.03,f,s,w,f,d,d,w,3.03,5.54,,,w,,,f,f,,m,w
p,8.03,s,d,e,t,d,c,w,5.85,7.88,,,e,,,f,f,,d,u
e,6.11,x,y,n,f,e,c,p,4.75,13.27,,,w,,,t,l,,w,a
p,6.72,f,d,n,t,d,c,w,4.85,8.48,,,e,,,f,f,,d,a
e,3.8,b,g,w,f,x,d,w,4.76,3.1,,,y,,,f,f,,g,a
p,2.87,x,g,n,f,a,,w,9.37,2.91,,,n,,,f,f,,d,u
e,1.59,c,g,n,f,a,,w,5.66,1.58,,,g,,,f,f,,d,a
p,8.05,b,y,n,f,,,k,15.7,18.44,,,w,,,f,f,,d,a
p,8.27,x,i,y,f,a,c,n,8.31,7.78,,i,n,,k,t,z,k,g,u
p,7.12,s,,r,t,d,,o,3.93,11.63,,,w,,,t,f,,d,a
e,9.14,f,s,n,f,s,c,w,5.79,9.02,b,i,n,,,f,f,,m,u
p,7.2,p,,n,f,p,,w,9.85,32.64,c,,n,,,f,f,p,d,a
p,3.29,b,d,y,f,a,,r,4.66,5.95,,t,y,,,f,f,,d,u
e,6.83,x,,y,f,a,c,w,6.41,15.09,,,g,,,f,f,,d,a
e,1.22,f,w,n,f,,d,k,4.31,2.11,,,w,,,f,f,,g,a
e,4.49,f,y,g,f,s,,w,4.49,7.62,,,w,,,f,f,,d,a
e,8.95,f,,g,f,s,c,g,6.59,18.78,b,,u,,,f,f,,d,w
e,10.88,x,w,n,f,p,,w,9.94,48.46,,,n,,,f,f,,d,a
p,6.7,x,s,n,f,s,,n,5.06,6.45,,y,n,,,f,f,,d,w
p,11.69,x,s,n,f,s,,y,7.6,18.24,,i,n,,,f,f,,d,a
p,4.92,x,e,e,f,a,,n,7.08,9.11,,,e,,w,t,z,,d,a
e,6.59,x,,g,t,p,,g,10.88,24.11,,y,w,,,f,f,,d,u
p,3.83,f,t,n,f,x,c,p,6.12,4.4,,i,n,,,f,f,,g,u
p,2.97,c,,w,f,a,c,w,3.78,3.59,,i,u,,,f,f,,d,u
e,7.96,x,d,y,t,p,,y,5.86,11.98,,,e,,,f,f,,d,a
p,3.04,b,,g,f,a,,k,8.57,2.5,,,n,,w,f,f,k,g,a
p,6.87,s,t,n,f,x,c,y,4.41,14.09,,,y,,,f,f,,d,a
p,8.64,x,y,n,f,a,c,n,8.63,10.85,,y,n,,,t,,,d,u
e,4.07,x,s,o,f,a,c,e,4.9,7.14,,,e,,,f,f,,g,u
p,17.33,f,d,n,f,d,c,y,6.82,35.02,,k,k,,,f,f,,d,u
p,11.01,x,e,n,t,p,,e,9.46,30.62,,,e,,,f,f,,d,u
p,5.24,s,,n,t,d,c,w,5.71,5.89,,,e,,,f,f,,d,a
p,8.19,b,y,w,f,,,k,16.13,17.76,,,w,,,f,f,,d,a
e,3.13,b,g,n,f,x,d,w,4.27,3.37,,,y,,,f,f,,g,a
e,9.7,f,,n,t,,,w,10.64,15.37,b,,w,u,w,t,g,,d,u
e,1.08,x,g,n,t,a,,w,6.02,1.12,,,n,,,f,f,,h,u
e,1.52,x,g,n,f,d,,w,6.27,2.05,,t,y,,,f,f,,d,a
e,3.72,x,h,p,f,a,c,o,4.26,6.21,,,o,,,f,f,,m,u
e,8.79,f,,u,f,s,c,u,7.79,18.07,,,u,,,f,f,,d,a
e,1.97,f,y,n,f,a,d,p,4.45,2.78,,i,n,,,f,f,,h,a
e,7.19,x,,g,t,p,,g,12.02,24.45,,y,w,,,f,f,,d,u
p,8.45,x,,u,t,x,,n,8.42,17.55,s,,g,,u,f,f,,d,a
e,3.32,x,h,p,f,a,c,e,4.8,6.69,,,o,,,f,f,,m,w
p,10.58,x,y,y,f,a,,y,11.77,21.55,r,,y,,,t,r,n,d,u
p,4.1,x,h,o,f,a,c,n,4.89,6.31,,y,o,,,t,z,,d,w
p,9.08,x,i,n,f,a,,n,12.84,16.26,s,,n,,n,f,f,,h,a
p,4.0,f,,y,f,s,d,y,5.55,11.85,,i,y,,,f,f,,d,a
p,1.83,p,t,n,f,a,c,g,5.59,2.34,,t,y,,,t,e,,m,a
p,6.9,f,,y,f,x,c,n,6.38,11.82,,,w,,,f,f,,d,u
p,1.39,b,,g,f,a,,g,4.66,1.94,,s,g,,,f,f,,d,u
p,2.86,c,,u,f,a,c,n,3.55,3.6,,i,w,,,f,f,,p,u
e,2.05,x,,u,f,,d,u,5.92,4.24,,,w,,,f,f,,d,u
e,8.84,x,,n,t,,,w,10.0,16.24,b,,w,u,w,t,g,,d,a
e,10.64,f,,l,f,s,c,b,8.33,20.53,,,u,,,f,f,,d,w
e,6.51,s,s,b,f,d,d,o,5.9,12.85,,,w,,,f,f,,m,a
p,1.85,x,,n,f,,,k,5.16,2.54,,s,n,,,f,f,k,g,a
e,7.81,x,h,y,t,x,c,y,8.97,17.33,,,w,,,f,f,,d,u
e,3.45,x,s,p,f,a,c,o,3.56,6.07,,,e,,,f,f,,m,w
p,3.33,f,w,n,t,d,c,n,3.9,6.1,,,n,,,f,f,,d,u
e,22.19,p,t,n,f,p,,y,20.05,77.94,,,n,,,f,f,,d,u
e,8.97,x,e,y,f,x,c,w,7.1,20.03,,,w,,,f,f,,d,u
e,3.5,x,k,n,f,p,,n,4.03,9.3,,,n,,,f,f,,d,a
p,1.97,c,t,n,f,,,n,6.47,2.31,,,y,,,f,f,,g,a
e,8.99,s,,y,f,a,c,w,6.06,13.96,,,w,,,f,f,,d,u
e,15.35,x,e,n,t,e,,w,10.0,17.75,,,w,,,t,,,g,a
e,5.6,f,,y,f,a,c,w,6.05,15.6,,,g,,,f,f,,d,a
e,13.2,s,,w,t,d,c,w,6.01,26.65,,,w,,,f,f,,d,u
p,4.15,x,h,n,f,a,c,n,4.4,7.13,,y,n,,,t,z,,d,a
e,3.04,x,d,o,f,a,c,o,4.23,6.41,,,o,,,f,f,,g,a
p,3.78,f,k,n,f,s,,p,4.15,3.11,,,n,,,f,f,p,g,a
p,1.84,f,h,n,f,,,y,7.14,2.95,,,y,,,f,f,,g,a
e,3.98,x,t,n,f,d,,o,6.23,7.66,,t,w,,,f,f,,d,a
e,6.67,x,t,y,f,p,,y,7.56,15.2,,,y,,y,t,,,d,u
p,4.57,f,,e,f,x,,w,4.19,6.05,,,w,,,f,f,,d,a
p,3.13,f,k,n,f,s,,p,3.97,3.04,,,n,,,f,f,p,g,u
p,4.06,x,t,l,f,s,c,g,5.19,6.48,,y,w,,,t,e,u,g,a
p,6.81,s,t,r,t,d,,g,4.2,11.59,,t,n,,,f,f,,d,u
e,7.46,x,t,y,f,p,,y,8.0,15.94,,,y,,y,t,,,d,a
p,11.14,x,y,y,f,a,c,y,14.36,14.37,,y,n,,,t,,,d,a
e,3.88,b,g,n,f,a,d,g,5.61,3.89,,s,g,,,f,f,,d,s
e,6.72,f,,n,f,s,c,p,6.9,19.54,b,,u,,,f,f,,g,a
p,3.55,f,t,n,f,x,c,p,4.58,4.04,,i,g,,,f,f,,d,a
p,2.61,x,s,o,f,d,,y,3.09,6.21,,,y,,,f,f,,m,a
p,11.43,x,d,y,f,a,,y,7.88,17.93,r,,o,,,t,r,n,d,u
p,1.4,b,h,n,f,a,,n,5.35,1.56,,t,n,,,f,f,,h,s
p,2.4,x,,w,f,x,c,p,6.54,3.23,,,n,,,f,f,,l,u
e,11.04,f,s,u,f,x,,n,7.7,25.6,,,p,,,f,f,,d,a
p,1.05,x,,n,f,,,n,5.03,2.08,,s,n,,,f,f,k,g,a
e,9.32,x,t,n,f,p,d,y,10.09,14.15,,s,n,,,f,f,,g,u
p,6.93,x,h,r,f,,c,w,11.04,16.76,,,w,u,w,t,g,,d,a
e,3.09,x,d,o,f,a,c,e,4.6,6.27,,,e,,,f,f,,m,w
e,7.59,s,s,o,f,d,d,b,6.54,12.88,,,w,,,f,f,,g,a
e,5.05,x,d,n,t,p,,y,5.28,13.29,,,y,,,f,f,,d,u
p,11.9,x,,n,f,e,,w,10.9,14.81,,,w,u,w,t,g,,d,a
p,5.84,x,,y,f,s,d,y,5.62,12.29,,i,y,,,f,f,,d,a
e,9.81,p,i,n,t,e,,p,9.17,17.71,,y,w,,,t,p,,d,a
e,7.74,f,y,w,f,e,c,n,5.31,13.24,,,w,,w,t,e,,m,a
e,3.67,s,d,g,t,d,c,p,3.86,5.6,,,g,,,f,f,,d,a
p,2.2,b,g,w,f,,c,n,5.76,2.9,,,n,,,f,f,,m,u
p,6.22,x,e,e,f,a,,n,7.78,10.36,,,e,,w,t,z,,d,a
e,4.86,x,h,n,f,x,c,n,5.59,6.16,,s,n,,,t,r,,d,a
p,7.45,x,,n,t,x,,n,8.86,20.22,s,,n,,u,f,f,,d,a
p,2.93,f,d,b,f,x,c,w,4.12,2.45,b,s,n,,,f,f,,l,a
e,11.15,s,,g,f,s,c,u,8.17,21.0,,,b,,,f,f,,d,a
e,4.22,x,,y,f,x,c,u,6.43,4.18,,,w,,,f,f,,d,u
p,16.12,x,g,e,f,e,,w,17.98,16.93,s,y,w,u,w,t,p,,d,u
e,3.89,s,d,u,t,d,c,p,4.89,6.09,,,g,,,f,f,,d,u
p,11.1,x,e,n,t,p,,e,8.9,27.51,,,e,,,f,f,,d,a
e,11.34,f,e,b,f,,c,b,4.67,21.75,,,w,,,t,f,,d,a
p,4.65,c,i,y,f,,c,r,6.12,6.37,,,w,,,f,f,,d,a
e,5.55,x,h,n,f,x,c,w,5.09,5.5,,s,n,,,t,r,,d,w
p,4.15,x,,w,f,,c,r,2.74,12.42,,,y,,,f,f,,d,a
p,14.11,x,h,n,t,p,,e,9.35,28.09,c,,y,,,f,f,,d,u
e,3.38,x,d,n,f,p,,n,4.09,9.19,,,y,,,f,f,,d,a
e,14.18,f,s,w,t,e,,n,11.98,17.93,s,,w,,,t,l,,m,a
e,6.55,x,d,y,t,p,,y,7.46,15.88,,,y,,,f,f,,d,u
e,7.57,x,,g,t,p,,g,11.81,26.01,,y,w,,,f,f,,d,u
e,7.06,x,,g,f,s,c,g,4.89,19.19,b,,u,,,f,f,,d,a
p,5.1,f,d,n,f,d,c,y,5.29,6.01,,i,n,,,t,,,d,u
e,7.84,x,e,l,f,x,c,w,7.15,17.42,,,w,,,f,f,,d,a
p,13.74,s,t,n,t,d,c,w,5.25,28.46,,,r,,,f,f,,l,u
p,2.92,s,s,w,f,d,c,w,2.95,7.57,,,w,,,f,f,,g,u
p,8.46,x,i,o,f,a,,y,14.55,22.34,r,,o,,,t,r,n,d,u
e,4.64,f,t,o,f,a,d,w,6.29,4.23,,k,n,,,f,f,,d,w
p,4.38,c,i,y,f,,c,n,6.23,7.46,,,w,,,f,f,,d,a
e,7.95,f,t,n,f,s,,n,9.53,13.38,,t,n,,,f,f,,d,a
e,9.54,x,s,n,f,e,c,w,7.81,10.51,,i,n,,,f,f,p,d,a
p,0.91,x,g,w,f,a,d,w,2.96,1.42,,,n,,,f,f,,l,a
p,4.45,x,s,y,f,,c,k,10.47,8.53,,,y,u,w,t,z,r,d,a
e,13.17,s,t,w,f,a,d,k,6.12,19.17,,,w,,,f,f,w,d,u
p,1.63,o,k,n,f,,,n,4.9,1.9,,,n,,,f,f,,d,s
e,4.48,x,,w,f,x,c,w,7.03,4.26,,,w,,,f,f,,d,a
p,8.41,s,d,e,t,d,c,w,7.66,9.59,,,e,,,f,f,,d,u
e,5.37,x,h,n,f,a,d,n,5.61,5.1,,t,g,,,t,l,,d,w
p,4.46,o,s,n,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,w
p,8.65,p,y,n,f,,,k,14.1,17.47,,,w,,,f,f,,d,a
p,14.65,f,k,n,f,d,c,y,5.4,34.38,,k,n,,,f,f,,d,a
p,4.28,f,,y,f,x,,w,5.12,6.54,,,w,,,f,f,,d,a
e,5.26,x,,w,f,x,c,g,6.08,4.21,,,w,,,f,f,,d,u
p,3.39,b,y,n,f,,c,u,7.23,4.67,s,s,w,,,f,f,,d,a
p,4.47,f,t,n,f,x,c,p,6.35,4.49,,i,g,,,f,f,,m,u
p,6.3,f,,r,f,x,c,y,7.04,13.02,,,w,,,f,f,,d,a
p,5.42,x,s,o,f,a,c,y,6.42,9.14,,g,o,,,f,f,,g,a
e,4.33,b,g,g,f,a,d,g,5.22,3.01,,s,n,,,f,f,,d,s
p,9.92,x,h,y,f,s,,y,6.87,16.47,,i,n,,,f,f,,d,u
p,5.49,b,i,e,f,e,,y,7.37,7.86,,,y,,,f,f,,m,u
p,1.27,b,g,y,f,,c,n,4.68,2.39,,,n,,,f,f,,m,a
e,3.35,x,s,w,f,d,d,w,3.62,5.42,,,w,,,f,f,,m,a
p,3.23,x,d,w,f,a,d,w,4.54,2.75,,h,w,,,f,f,,g,a
e,1.57,x,w,g,f,,d,k,5.33,2.71,,,w,,,f,f,,g,u
p,8.68,s,t,p,t,d,c,p,8.53,18.2,,,p,,,t,f,,d,a
p,5.51,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
e,24.2,x,t,n,f,p,,w,18.93,86.36,,,n,,,f,f,,d,a
p,5.1,c,e,w,t,x,c,p,4.86,11.82,,,w,,,f,f,,d,s
p,11.0,x,t,n,f,a,d,w,11.45,29.51,,,w,,,f,f,,d,u
p,11.87,x,e,n,t,p,,o,9.57,32.77,,,u,,,f,f,,d,u
p,14.79,x,g,n,f,p,,y,4.19,28.58,,,n,,,f,f,,d,w
p,3.42,f,d,n,f,x,c,w,4.3,3.24,b,s,n,,,f,f,,l,a
p,6.66,x,w,n,f,x,,w,13.74,7.7,r,g,n,,,f,f,,d,a
e,3.59,b,g,n,f,x,d,w,5.36,3.15,,,y,,,f,f,,g,u
p,1.72,f,i,k,f,a,,w,3.6,2.32,,,w,,,f,f,p,g,u
e,8.14,x,s,n,f,e,c,p,6.99,9.57,,i,w,,,f,f,p,d,a
p,6.6,x,t,n,f,s,,n,5.32,7.47,,y,n,,,f,f,,d,w
e,3.01,s,y,n,f,d,d,p,7.55,3.7,,i,n,,,f,f,,h,a
e,5.73,f,h,o,f,a,d,y,7.61,6.0,,s,o,,,f,f,,d,a
e,5.88,x,d,y,t,p,,y,7.15,17.1,,,y,,,f,f,,d,a
p,4.13,x,,w,f,,c,w,3.14,12.48,,,y,,,f,f,,d,a
p,2.91,x,y,o,f,a,,o,3.26,5.77,,,o,,,f,f,,m,a
p,1.46,b,g,n,f,,c,n,4.97,2.63,,,n,,,f,f,,g,u
p,1.41,b,,g,f,a,,g,4.97,2.0,,s,g,,,f,f,,d,u
p,14.95,x,t,n,t,d,c,b,4.97,24.53,,,r,,,f,f,,g,a
e,8.75,x,h,y,f,p,,y,6.74,15.08,,,y,,y,t,,,d,a
p,3.61,b,y,n,f,,c,g,4.96,4.15,s,s,w,,,f,f,,d,a
p,4.29,s,d,o,f,d,c,o,3.09,5.96,,,y,,,f,f,,h,u
p,2.27,b,g,n,f,,c,n,6.6,2.96,,,n,,,f,f,,g,u
e,7.67,x,y,e,f,,,w,6.3,23.7,b,,n,,w,t,e,,d,w
p,7.99,o,e,y,f,,c,y,1.4,14.74,,,y,,,f,f,,d,a
e,3.49,s,,y,f,f,f,f,5.71,6.28,,,o,,,f,f,,d,a
e,7.89,x,h,y,t,x,c,y,7.59,16.18,,,w,,,f,f,,d,u
p,5.03,x,,w,f,,c,r,3.0,12.13,,,y,,,f,f,,d,a
e,10.29,x,e,l,f,x,c,w,6.82,19.09,,,w,,,f,f,,d,u
e,4.76,x,s,o,f,p,,n,5.79,11.45,,,n,,,f,f,,d,u
p,11.04,x,h,n,f,s,,p,7.52,18.76,,i,n,,,f,f,,d,u
e,5.52,x,t,g,f,a,d,n,4.8,3.53,,t,w,,,t,l,,d,u
p,2.04,f,t,y,f,,,n,7.62,3.09,,,y,,,f,f,,g,a
e,8.0,x,t,y,t,x,c,y,7.9,17.33,,,w,,,f,f,,d,u
p,0.76,x,g,p,f,a,,p,4.04,1.02,,h,k,,,f,f,,d,w
e,5.72,f,s,u,f,a,c,w,4.21,14.91,,,w,,,f,f,,d,u
e,6.85,x,h,n,f,p,d,y,5.81,11.23,,s,n,,,f,f,,h,a
e,6.92,x,s,k,f,a,c,w,4.09,12.96,,,w,,,f,f,,d,a
p,0.61,x,g,y,f,,,y,3.61,0.73,,,y,,,f,f,,d,a
p,5.47,c,i,y,f,,c,n,7.15,8.05,,,w,,,f,f,,d,a
p,1.38,x,,n,f,,,n,4.69,2.5,,s,n,,,f,f,k,g,u
e,6.2,x,h,n,f,a,d,n,5.43,4.81,,t,g,,,t,l,,d,u
p,3.67,b,,n,f,a,,n,8.7,2.45,,,g,,w,f,f,k,g,a
p,11.6,x,t,r,t,d,c,n,4.38,10.9,,,n,,,f,f,,h,u
e,1.09,b,g,g,f,,,g,2.93,1.49,,,w,,,f,f,,d,u
e,7.94,f,,w,f,d,c,w,2.18,13.15,,,w,,,f,f,,d,w
e,7.28,s,s,o,f,d,d,o,6.7,13.0,,,w,,,f,f,,d,w
p,2.49,x,t,r,f,s,c,n,4.96,6.85,,y,w,,,t,e,k,d,a
e,4.48,x,,n,f,x,c,n,7.86,9.07,b,,w,,w,t,,,d,s
e,1.61,x,w,g,f,,d,k,4.6,2.44,,,w,,,f,f,,g,a
p,1.62,c,h,n,f,,,y,7.33,2.74,,,y,,,f,f,,g,a
p,2.05,p,t,n,f,a,c,g,7.95,2.65,,t,y,,,t,e,,m,a
e,9.4,f,,n,f,s,c,u,5.59,16.66,,,b,,,f,f,,d,a
p,11.28,x,e,n,t,p,,e,9.41,26.8,,,e,,,f,f,,d,u
e,4.66,x,s,o,f,p,,n,5.44,10.44,,,n,,,f,f,,d,a
e,4.11,x,,y,f,a,c,o,3.76,8.97,,,w,,,f,f,,d,u
p,17.02,s,k,w,t,d,d,w,6.82,27.48,,,w,,,f,f,,d,a
p,4.05,x,k,n,f,s,,p,4.38,3.4,,,n,,,f,f,p,g,u
e,10.33,f,d,w,f,s,c,w,8.03,32.62,,,w,,,f,f,,d,u
e,6.76,x,h,y,t,x,c,y,7.06,15.28,,,w,,,f,f,,d,a
e,7.51,x,,n,f,x,c,w,6.19,15.76,,s,w,,,f,f,,d,u
e,4.95,o,l,n,f,f,f,f,7.16,49.65,,,n,,,f,f,g,d,a
e,11.55,x,y,n,f,,,w,6.64,24.88,b,,n,,w,t,e,,d,a
p,8.43,p,g,n,f,e,,w,8.16,17.47,,y,w,u,w,t,p,,d,a
e,6.76,x,,w,f,e,,w,5.7,11.9,b,,w,u,w,t,g,,d,u
e,6.9,x,,n,t,p,,g,9.18,23.24,,y,w,,,f,f,,d,a
p,2.22,b,g,w,f,,c,n,6.16,3.06,,,n,,,f,f,,d,a
p,21.51,x,d,o,f,p,,y,3.94,34.43,,,n,,,f,f,,d,a
p,0.82,x,,o,f,d,,o,3.88,0.98,,,y,,,f,f,w,g,u
e,3.33,x,d,n,f,p,,y,5.08,10.87,,,n,,,f,f,,d,a
e,4.1,x,,n,f,x,c,w,6.65,3.87,,,w,,,f,f,,d,a
e,3.73,s,,n,f,f,f,f,5.64,7.41,,,o,,,f,f,,d,a
e,8.34,x,h,n,f,p,d,y,8.78,13.54,,s,n,,,f,f,,h,a
e,6.17,f,s,u,f,a,c,w,4.13,14.52,,,w,,,f,f,,d,u
